recipe_name,LCE,cycle,0V_electrode_adsorption,4V_electrode_adsorption,0V_electrode,0V_bulk,4V_electrode,4V_Li_peak_enrichment,4V_solvent_peak_sum,4V_max_enrichment_solvent_peak
3_57_m_litfsi_dme,1.1426675035687313,12.0,0.0619966625553217,0.0561291594811147,0.2416467017119464,0.2433589942693922,0.1850003734140276,2.487284083618801,1.970910493392715,1.970910493392715
1_m_lifsi_thf,1.3767507096020992,40.0,0.0137728937728937,0.0556976356976356,0.2170005743437278,0.2504610866774581,0.1306211646470112,2.9286102764824946,2.020015388791083,2.020015388791083
1m_litfsi_in_fdma_fec_1_1_by_vol,2.154901959985742,100.0,0.1053080253080253,0.0467299367299367,0.1056627159346192,0.0662416234430015,0.052192246991517,3.873248232619719,3.6082004553887,1.8087090862773127
5_m_lifsi_ec_etfec_3_7_vol,2.045757490560675,10.0,0.0,,,0.619140473384159,,,,
1_m_lipf6_fec_emc_dmc_34_6_57_2_8_2_wt,1.3010299956639817,100.0,0.0871495171495171,0.0345454545454545,0.0388322426824937,0.0338432007678003,0.0200839143579934,3.546598032296899,5.42267622319506,2.4864805512092016
1_m_lifsi_fsa,1.6716203965612626,200.0,0.0494905094905094,0.0379853479853479,0.2165336257682793,0.2355670548359364,0.1621410141169319,3.087097461136219,2.036446048661104,2.036446048661104
1_m_lipf6_fec_emc_dmc_34_6_57_2_8_2_wt_1wt_tmsb,1.6777807052660827,100.0,0.0816983016983017,0.0312853812853812,0.0475820533836998,0.0585071581125756,0.0351129749014207,4.418118690927796,10.613201909040592,8.910862573801179
7_m_lifsi_fec,1.645891560852598,100.0,0.0458836401693544,0.0409166974283253,0.5441373873790126,0.6251225561224966,0.5292583379211441,1.969104483827747,1.9309562015827697,1.9309562015827697
1_m_lipf6_fec_femc_d2_2_6_2_wt,2.096910013008062,500.0,0.0768065268065268,0.0357176157176157,0.0400473887626483,0.0372323523838675,0.0198332301291955,2.8470036611214597,5.817187628195638,2.385135974171116
3_m_lifsi_fec,1.5436339668709576,100.0,0.0641636141636141,0.051022311022311,0.32590221064595,0.353967320039276,0.3006507603524712,3.3852722775767594,1.625676378812761,1.625676378812761
2_2_m_litfsi_0_8_m_lidfp_dme,1.2924298239020642,12.0,0.0573404373404373,0.048049728049728,0.0964933333904777,0.1039613240134756,0.079492719132543,2.201433340390789,1.7912905690274754,1.7912905690274754
lifsi_dmc_1_1_5_mol,1.7695510786217257,200.0,0.018025308025308,0.0484981684981685,0.2532574974146846,0.2306625030001758,0.1245074818487692,4.565731301686311,1.977841463003219,1.977841463003219
1_m_lipf6_fec_dmc_1_1_v_2wt_12_crown_4,1.2757241303992115,50.0,0.0675690975690975,0.023013653013653,0.1001520476582168,0.0839927652458792,0.0341188572741466,2.976092538578516,12.464767857333682,9.178030659268314
2m_lifsi_1m_litfsi_dol_dme_1_1_vol,1.8538719643217616,200.0,0.0532367632367632,0.045053835053835,0.1914803399135586,0.2235166322997315,0.1174002541674738,2.7812003432951227,4.458683070117148,2.61327689349794
